violation,item,country,shipper,station,importers,cause,cargo,remarks,article,manufacturers,year,month,day
1,15,21.0,0.0,39.0,626.0,0.0,8.0,8.0,5.0,1905.0,3,10,10
1,19,123.0,0.0,42.0,534.0,0.0,8.0,8.0,5.0,1595.0,3,10,10
5,18,36.0,512.0,42.0,226.0,0.0,8.0,8.0,9.0,11.0,3,10,10
3,12,21.0,0.0,37.0,65.0,0.0,8.0,8.0,27.0,1845.0,3,10,10
9,19,57.0,0.0,37.0,524.0,0.0,8.0,8.0,2.0,639.0,3,10,10
9,19,57.0,0.0,37.0,524.0,0.0,8.0,8.0,2.0,639.0,3,10,10
1,10,21.0,0.0,37.0,590.0,0.0,8.0,8.0,5.0,1369.0,3,10,10
0,19,116.0,0.0,37.0,129.0,0.0,8.0,8.0,5.0,573.0,3,10,10
1,13,33.0,0.0,41.0,383.0,0.0,8.0,8.0,5.0,1035.0,3,10,10
5,19,132.0,590.0,17.0,427.0,0.0,8.0,8.0,34.0,11.0,3,10,10
3,12,115.0,245.0,23.0,72.0,0.0,8.0,8.0,27.0,11.0,3,10,10
5,19,139.0,284.0,27.0,181.0,0.0,11.0,11.0,9.0,11.0,3,10,10
1,19,126.0,640.0,19.0,595.0,0.0,8.0,8.0,5.0,11.0,3,10,10
1,15,126.0,0.0,24.0,394.0,0.0,8.0,8.0,5.0,1607.0,3,10,10
0,19,139.0,0.0,37.0,111.0,0.0,8.0,8.0,5.0,176.0,3,10,10
0,19,139.0,0.0,37.0,111.0,0.0,8.0,8.0,5.0,176.0,3,10,10
0,19,139.0,0.0,37.0,111.0,0.0,8.0,8.0,5.0,176.0,3,10,10
0,19,139.0,0.0,37.0,111.0,0.0,8.0,8.0,5.0,176.0,3,10,10
0,19,139.0,0.0,37.0,111.0,0.0,8.0,8.0,5.0,176.0,3,10,10
3,19,36.0,0.0,37.0,410.0,0.0,8.0,8.0,27.0,1139.0,3,10,10
9,14,142.0,0.0,42.0,53.0,0.0,8.0,8.0,2.0,299.0,3,10,10
1,15,21.0,0.0,10.0,420.0,0.0,8.0,8.0,5.0,946.0,3,10,10
1,19,99.0,15.0,42.0,348.0,0.0,8.0,8.0,5.0,11.0,3,10,10
1,19,132.0,229.0,37.0,444.0,0.0,8.0,8.0,5.0,11.0,3,10,10
3,12,12.0,500.0,10.0,630.0,0.0,8.0,8.0,27.0,11.0,3,10,10
1,15,21.0,0.0,19.0,250.0,0.0,8.0,8.0,5.0,933.0,3,10,10
1,15,21.0,0.0,37.0,133.0,0.0,8.0,8.0,5.0,1284.0,3,10,10
5,19,132.0,590.0,17.0,427.0,0.0,8.0,8.0,34.0,11.0,3,10,31
3,19,132.0,0.0,10.0,170.0,0.0,8.0,8.0,27.0,943.0,3,10,31
1,10,21.0,0.0,34.0,203.0,0.0,8.0,8.0,5.0,1496.0,3,10,31
0,19,112.0,0.0,37.0,84.0,0.0,8.0,8.0,27.0,285.0,3,10,31
0,19,112.0,0.0,37.0,84.0,0.0,8.0,8.0,27.0,285.0,3,10,31
0,19,112.0,0.0,37.0,84.0,0.0,8.0,8.0,27.0,285.0,3,10,31
0,19,112.0,0.0,37.0,84.0,0.0,8.0,8.0,27.0,285.0,3,10,31
3,1,132.0,580.0,34.0,584.0,0.0,8.0,8.0,27.0,11.0,3,10,31
6,1,132.0,106.0,37.0,72.0,0.0,8.0,8.0,25.0,11.0,3,10,31
6,1,132.0,106.0,37.0,72.0,0.0,8.0,8.0,25.0,11.0,3,10,31
6,7,132.0,6.0,31.0,344.0,0.0,8.0,8.0,25.0,11.0,3,10,31
6,0,3.0,471.0,7.0,376.0,0.0,8.0,8.0,25.0,11.0,3,10,31
1,17,21.0,0.0,18.0,272.0,0.0,8.0,8.0,5.0,1846.0,3,10,31
3,19,58.0,0.0,17.0,208.0,0.0,8.0,8.0,27.0,187.0,3,10,31
0,17,21.0,0.0,37.0,464.0,0.0,8.0,8.0,5.0,1332.0,3,10,31
1,3,21.0,0.0,39.0,96.0,0.0,8.0,8.0,5.0,6.0,3,10,31
0,19,63.0,0.0,42.0,546.0,0.0,8.0,8.0,5.0,1181.0,3,10,31
5,18,142.0,519.0,23.0,613.0,0.0,8.0,8.0,9.0,11.0,3,10,31
5,18,142.0,519.0,23.0,613.0,0.0,8.0,8.0,9.0,11.0,3,10,31
1,15,21.0,0.0,10.0,132.0,0.0,8.0,8.0,5.0,1348.0,3,10,31
3,19,57.0,0.0,18.0,476.0,0.0,8.0,8.0,27.0,1317.0,3,10,31
5,19,21.0,47.0,37.0,496.0,0.0,3.0,3.0,9.0,11.0,3,10,31
0,2,63.0,0.0,27.0,461.0,0.0,8.0,8.0,5.0,1621.0,3,10,31
0,2,63.0,0.0,27.0,461.0,0.0,8.0,8.0,5.0,1621.0,3,10,31
1,15,21.0,0.0,37.0,215.0,0.0,8.0,8.0,5.0,774.0,3,10,31
1,17,133.0,0.0,15.0,0.0,0.0,8.0,8.0,5.0,821.0,2,02,07
3,6,132.0,574.0,18.0,0.0,0.0,8.0,8.0,27.0,11.0,2,02,07
3,6,132.0,587.0,19.0,0.0,0.0,8.0,8.0,27.0,11.0,2,02,07
0,19,80.0,0.0,15.0,0.0,0.0,8.0,8.0,16.0,1435.0,2,02,07
0,19,80.0,0.0,15.0,0.0,0.0,8.0,8.0,16.0,1435.0,2,02,07
3,4,132.0,34.0,37.0,0.0,0.0,8.0,8.0,27.0,11.0,2,02,07
9,12,57.0,0.0,19.0,0.0,0.0,8.0,8.0,2.0,1320.0,2,02,07
3,12,21.0,624.0,42.0,0.0,0.0,8.0,8.0,27.0,11.0,2,02,07
1,17,142.0,0.0,37.0,0.0,0.0,8.0,8.0,5.0,1758.0,2,02,13
1,17,21.0,0.0,29.0,0.0,0.0,8.0,8.0,5.0,416.0,2,02,13
1,17,126.0,0.0,27.0,0.0,0.0,9.0,9.0,5.0,202.0,2,02,13
1,10,142.0,0.0,18.0,0.0,0.0,8.0,8.0,5.0,280.0,2,02,13
0,19,122.0,0.0,11.0,0.0,0.0,8.0,8.0,27.0,1539.0,2,02,13
0,19,21.0,0.0,29.0,0.0,0.0,8.0,8.0,16.0,421.0,2,02,13
0,19,21.0,0.0,29.0,0.0,0.0,8.0,8.0,16.0,421.0,2,02,13
0,19,21.0,0.0,29.0,0.0,0.0,8.0,8.0,16.0,421.0,2,02,13
1,14,76.0,0.0,42.0,0.0,0.0,8.0,8.0,5.0,483.0,2,02,13
1,19,66.0,0.0,19.0,0.0,0.0,8.0,8.0,5.0,395.0,2,02,13
0,19,139.0,0.0,10.0,0.0,0.0,8.0,8.0,16.0,719.0,2,02,13
3,11,129.0,0.0,42.0,0.0,0.0,8.0,8.0,27.0,1075.0,2,02,13
3,6,132.0,580.0,23.0,0.0,0.0,8.0,8.0,27.0,11.0,2,02,13
3,12,21.0,0.0,42.0,0.0,0.0,8.0,8.0,27.0,780.0,2,02,19
1,15,142.0,0.0,39.0,0.0,0.0,8.0,8.0,5.0,583.0,2,02,19
0,19,21.0,0.0,15.0,0.0,0.0,8.0,8.0,16.0,541.0,2,02,19
1,19,99.0,235.0,18.0,0.0,0.0,8.0,8.0,5.0,11.0,2,02,19
9,19,70.0,0.0,23.0,0.0,0.0,8.0,8.0,2.0,305.0,2,02,19
9,19,70.0,0.0,23.0,0.0,0.0,8.0,8.0,2.0,305.0,2,02,19
0,5,116.0,0.0,42.0,0.0,0.0,8.0,8.0,5.0,158.0,2,02,19
1,17,21.0,0.0,37.0,0.0,0.0,8.0,8.0,5.0,1537.0,2,02,19
1,3,63.0,0.0,27.0,0.0,0.0,8.0,8.0,5.0,1412.0,2,02,19
1,17,21.0,0.0,29.0,0.0,0.0,8.0,8.0,5.0,1340.0,2,02,19
9,19,57.0,0.0,37.0,0.0,0.0,8.0,8.0,2.0,1585.0,2,02,19
9,19,57.0,0.0,37.0,0.0,0.0,8.0,8.0,2.0,1585.0,2,02,19
5,19,57.0,0.0,37.0,0.0,0.0,8.0,8.0,9.0,1532.0,2,02,19
1,15,21.0,0.0,31.0,0.0,0.0,8.0,8.0,5.0,271.0,2,02,19
3,4,132.0,518.0,29.0,0.0,0.0,8.0,8.0,27.0,11.0,2,02,19
5,19,57.0,0.0,37.0,0.0,0.0,9.0,9.0,9.0,1154.0,2,02,19
1,19,36.0,0.0,42.0,0.0,0.0,8.0,8.0,5.0,1451.0,2,02,23
5,9,140.0,82.0,42.0,0.0,0.0,8.0,8.0,9.0,11.0,2,02,23
5,9,140.0,82.0,42.0,0.0,0.0,8.0,8.0,9.0,11.0,2,02,23
3,11,132.0,0.0,37.0,0.0,0.0,8.0,8.0,27.0,1427.0,2,02,23
3,19,21.0,0.0,42.0,0.0,0.0,8.0,8.0,27.0,1649.0,2,02,23
0,19,21.0,0.0,29.0,0.0,0.0,8.0,8.0,1.0,246.0,2,02,23
3,6,132.0,202.0,37.0,0.0,0.0,8.0,8.0,27.0,11.0,2,02,23
6,0,18.0,131.0,7.0,0.0,1.0,8.0,8.0,26.0,11.0,2,02,23
6,0,18.0,131.0,7.0,0.0,1.0,8.0,8.0,26.0,11.0,2,02,23
1,17,21.0,0.0,37.0,0.0,0.0,8.0,8.0,5.0,1094.0,2,02,23
1,8,142.0,0.0,37.0,0.0,0.0,8.0,8.0,5.0,1437.0,2,02,23
1,17,21.0,0.0,37.0,0.0,0.0,8.0,8.0,5.0,1343.0,2,02,23
6,7,132.0,5.0,37.0,0.0,1.0,8.0,8.0,26.0,11.0,2,02,23
6,7,132.0,5.0,37.0,0.0,1.0,8.0,8.0,26.0,11.0,2,02,23
6,7,126.0,550.0,10.0,0.0,1.0,8.0,8.0,26.0,11.0,2,02,23
0,19,21.0,0.0,15.0,0.0,0.0,8.0,8.0,16.0,11.0,2,02,23
1,17,21.0,0.0,39.0,0.0,0.0,8.0,8.0,5.0,1800.0,2,03,08
1,19,56.0,0.0,42.0,0.0,0.0,8.0,8.0,5.0,534.0,2,03,08
1,3,116.0,0.0,39.0,0.0,0.0,8.0,8.0,5.0,973.0,2,03,08
6,0,18.0,223.0,7.0,0.0,0.0,8.0,8.0,26.0,11.0,2,03,08
1,17,21.0,0.0,17.0,0.0,0.0,8.0,8.0,5.0,1068.0,2,03,08
5,19,57.0,0.0,42.0,0.0,0.0,8.0,8.0,9.0,54.0,2,03,08
5,9,140.0,20.0,42.0,0.0,0.0,8.0,8.0,9.0,11.0,2,03,08
5,9,51.0,120.0,42.0,0.0,0.0,8.0,8.0,9.0,11.0,2,03,08
3,6,132.0,202.0,10.0,0.0,0.0,8.0,8.0,27.0,11.0,2,03,08
1,19,21.0,0.0,27.0,0.0,0.0,8.0,8.0,5.0,80.0,2,03,08
1,3,116.0,0.0,27.0,0.0,0.0,8.0,8.0,5.0,802.0,2,03,08
6,7,126.0,562.0,29.0,0.0,1.0,8.0,8.0,26.0,11.0,2,03,08
0,11,21.0,0.0,24.0,0.0,0.0,8.0,8.0,5.0,1828.0,2,03,08
1,10,142.0,0.0,37.0,0.0,0.0,8.0,8.0,5.0,51.0,2,03,08
3,4,131.0,257.0,37.0,0.0,0.0,8.0,8.0,27.0,11.0,2,03,08
6,7,126.0,92.0,14.0,0.0,1.0,8.0,8.0,26.0,11.0,2,03,08
0,19,12.0,0.0,42.0,0.0,0.0,8.0,8.0,5.0,325.0,2,03,08
5,9,140.0,20.0,42.0,0.0,0.0,8.0,8.0,9.0,11.0,2,03,08
3,6,131.0,507.0,37.0,0.0,0.0,8.0,8.0,27.0,11.0,2,03,08
1,15,122.0,0.0,27.0,0.0,0.0,8.0,8.0,5.0,717.0,3,02,14
1,10,19.0,0.0,37.0,0.0,0.0,8.0,8.0,5.0,199.0,3,02,14
3,1,57.0,0.0,18.0,0.0,0.0,8.0,8.0,27.0,1318.0,3,02,22
0,19,122.0,0.0,21.0,0.0,0.0,8.0,8.0,1.0,1526.0,3,02,22
3,12,132.0,351.0,42.0,0.0,0.0,8.0,8.0,27.0,11.0,3,02,22
6,19,34.0,487.0,42.0,0.0,1.0,8.0,8.0,25.0,11.0,3,02,22
9,19,57.0,0.0,18.0,0.0,0.0,8.0,8.0,2.0,640.0,3,02,22
1,17,132.0,0.0,24.0,0.0,0.0,8.0,8.0,5.0,448.0,3,02,22
1,19,132.0,0.0,42.0,0.0,0.0,8.0,8.0,5.0,47.0,3,02,22
1,17,46.0,0.0,18.0,0.0,0.0,8.0,8.0,5.0,761.0,3,02,22
1,17,126.0,0.0,18.0,0.0,0.0,8.0,8.0,5.0,255.0,3,02,22
1,19,21.0,320.0,19.0,0.0,0.0,8.0,8.0,5.0,11.0,3,02,22
5,9,31.0,182.0,42.0,0.0,0.0,8.0,8.0,9.0,11.0,3,02,22
6,19,18.0,223.0,18.0,0.0,1.0,8.0,8.0,25.0,11.0,3,02,22
6,19,18.0,223.0,18.0,0.0,1.0,8.0,8.0,25.0,11.0,3,02,22
1,19,126.0,399.0,27.0,0.0,0.0,11.0,11.0,5.0,11.0,3,02,22
6,7,3.0,467.0,42.0,0.0,1.0,8.0,8.0,25.0,11.0,3,02,28
1,8,142.0,0.0,37.0,0.0,0.0,8.0,8.0,5.0,477.0,3,02,28
1,17,21.0,0.0,37.0,0.0,0.0,8.0,8.0,5.0,1632.0,3,02,28
5,19,21.0,0.0,19.0,0.0,0.0,11.0,11.0,9.0,1289.0,3,02,28
6,7,126.0,557.0,28.0,0.0,1.0,8.0,8.0,25.0,11.0,3,02,28
9,2,3.0,0.0,27.0,0.0,0.0,8.0,8.0,2.0,308.0,3,02,28
9,2,3.0,0.0,27.0,0.0,0.0,8.0,8.0,2.0,279.0,3,02,28
5,9,31.0,113.0,42.0,0.0,0.0,8.0,8.0,9.0,11.0,3,02,28
1,17,121.0,0.0,27.0,0.0,0.0,8.0,8.0,5.0,481.0,3,02,28
3,1,3.0,0.0,42.0,0.0,0.0,8.0,8.0,27.0,832.0,3,02,28
0,19,116.0,0.0,37.0,0.0,0.0,8.0,8.0,5.0,55.0,3,03,06
0,5,116.0,0.0,37.0,0.0,0.0,8.0,8.0,5.0,55.0,3,03,06
3,19,132.0,77.0,42.0,0.0,0.0,8.0,8.0,27.0,11.0,3,03,06
3,12,21.0,0.0,23.0,0.0,0.0,8.0,8.0,27.0,1842.0,3,03,06
0,15,132.0,0.0,39.0,0.0,0.0,8.0,8.0,5.0,1535.0,3,03,06
1,17,101.0,0.0,42.0,0.0,0.0,8.0,8.0,5.0,1657.0,3,03,06
3,19,57.0,0.0,18.0,0.0,0.0,8.0,8.0,27.0,1152.0,3,03,06
3,19,57.0,0.0,18.0,0.0,0.0,8.0,8.0,27.0,1152.0,3,03,06
5,19,57.0,0.0,18.0,0.0,0.0,11.0,11.0,9.0,551.0,3,03,06
1,17,126.0,0.0,29.0,0.0,0.0,8.0,8.0,5.0,906.0,3,03,06
1,4,60.0,192.0,37.0,0.0,0.0,8.0,8.0,5.0,11.0,3,03,06
9,19,129.0,0.0,29.0,0.0,0.0,8.0,8.0,2.0,440.0,3,03,06
0,5,122.0,0.0,37.0,0.0,0.0,8.0,8.0,5.0,117.0,3,03,06
1,19,101.0,533.0,23.0,0.0,0.0,8.0,8.0,5.0,11.0,3,03,06
1,8,58.0,0.0,19.0,0.0,0.0,8.0,8.0,5.0,1247.0,3,03,16
1,10,126.0,0.0,19.0,0.0,0.0,8.0,8.0,5.0,1667.0,3,03,16
1,17,121.0,0.0,27.0,0.0,0.0,8.0,8.0,5.0,481.0,3,03,16
3,19,132.0,208.0,37.0,0.0,0.0,8.0,8.0,27.0,11.0,3,03,16
3,19,132.0,90.0,42.0,0.0,0.0,8.0,8.0,27.0,11.0,3,03,20
1,7,21.0,0.0,42.0,0.0,0.0,8.0,8.0,5.0,668.0,3,03,20
3,12,21.0,329.0,42.0,0.0,0.0,8.0,8.0,27.0,11.0,3,03,20
0,19,36.0,0.0,29.0,0.0,0.0,8.0,8.0,16.0,756.0,3,03,20
3,12,21.0,0.0,23.0,0.0,0.0,8.0,8.0,27.0,1387.0,3,03,20
1,18,126.0,0.0,37.0,0.0,0.0,8.0,8.0,5.0,579.0,3,03,20
1,14,122.0,0.0,42.0,0.0,0.0,8.0,8.0,5.0,692.0,3,03,20
1,14,122.0,0.0,42.0,0.0,0.0,8.0,8.0,5.0,692.0,3,03,20
1,14,122.0,0.0,42.0,0.0,0.0,8.0,8.0,5.0,692.0,3,03,20
0,19,21.0,0.0,11.0,0.0,0.0,8.0,8.0,16.0,750.0,3,03,27
1,8,58.0,0.0,31.0,0.0,0.0,8.0,8.0,5.0,1256.0,3,03,27
3,19,21.0,156.0,23.0,0.0,0.0,8.0,8.0,27.0,11.0,3,04,23
6,7,3.0,467.0,42.0,0.0,0.0,8.0,8.0,25.0,11.0,3,03,20
1,19,142.0,140.0,15.0,0.0,0.0,3.0,3.0,6.0,11.0,3,03,20
5,13,146.0,78.0,42.0,0.0,0.0,8.0,8.0,9.0,11.0,3,03,20
5,19,21.0,288.0,18.0,0.0,0.0,8.0,8.0,9.0,11.0,3,03,20
5,19,34.0,297.0,18.0,0.0,0.0,8.0,8.0,9.0,11.0,3,03,20
3,12,132.0,580.0,42.0,0.0,0.0,8.0,8.0,27.0,11.0,3,03,20
5,19,19.0,384.0,19.0,0.0,0.0,8.0,8.0,9.0,11.0,3,03,27
0,19,80.0,0.0,42.0,0.0,0.0,8.0,8.0,5.0,31.0,3,03,27
0,19,80.0,0.0,42.0,0.0,0.0,8.0,8.0,5.0,31.0,3,03,27
0,19,80.0,0.0,42.0,0.0,0.0,8.0,8.0,5.0,31.0,3,03,27
0,19,132.0,0.0,27.0,0.0,0.0,8.0,8.0,5.0,1610.0,3,03,27
6,7,126.0,383.0,18.0,0.0,1.0,8.0,8.0,25.0,11.0,3,03,27
0,17,46.0,0.0,42.0,0.0,0.0,8.0,8.0,5.0,604.0,3,03,27
0,17,46.0,0.0,42.0,0.0,0.0,8.0,8.0,5.0,604.0,3,03,27
0,17,46.0,0.0,42.0,0.0,0.0,8.0,8.0,5.0,604.0,3,03,27
6,19,18.0,222.0,42.0,0.0,1.0,8.0,8.0,25.0,11.0,3,03,27
1,14,126.0,0.0,29.0,0.0,0.0,8.0,8.0,5.0,1670.0,3,04,04
1,11,142.0,0.0,19.0,0.0,0.0,8.0,8.0,5.0,124.0,3,04,04
6,7,126.0,55.0,21.0,0.0,1.0,8.0,8.0,25.0,11.0,3,04,04
6,7,126.0,55.0,21.0,0.0,1.0,8.0,8.0,25.0,11.0,3,04,04
5,19,21.0,617.0,37.0,0.0,0.0,8.0,8.0,9.0,11.0,3,04,04
3,19,21.0,0.0,42.0,0.0,0.0,8.0,8.0,27.0,780.0,3,04,04
