ITEM,EXPORTING COUNTRY,NAME OF MANUFACTURERS,SHIPPER,ARTICLE,CONTENTS OF VIOLATION,QUARANTIN STATION,NAME OF IMPORTERS,CAUSE OF VIOLATION,DISPOSAL OF THE CARGO,REMARKS,Publication day
Frozen food served after heating(other than those heated immediately before freezing）:FROZEN SQUID PRODUCT IKA KIRIMI,China,"ZHOUSHAN EAST CHINA SEA RURAL FOOD CO., LTD.",0,Art.11(2),violation of compositional standard（live bacteria count  6.1×10⁶ /g）,tokyo 2nd section,YKMP CORPORATION,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-10-10
Gypsum Fibrosum,Taiwan ,"SUN TEN PHARMACEUTICAL CO.,LTD.",0,Art.11(2),"violation of compositional standard (content 120.3% ,ignition loss)",yokohama,SUNTEN JAPAN LLC,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-10-10
FROZEN REDCURRANT WHOLE,France,0,SICA SAS SICODIS,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act (Dithianon 0.03 ppm detection)",yokohama,"IMBERT JAPAN CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2019-10-10
FRIED PEANUTS WITH SKIN,China,"YANTAI FENGLIN FOODSTUFF CO.,LTD.",0,Art.6(ⅱ),"aflatoxin (mycotoxin)　39 μg/kg　（B1: 33.7, B2: 5.7 ) detected",tokyo,"C G C JAPAN CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2019-10-10
Confectionery：HALDIRAM SOAN PAPDI COCONUT,India,HALDIRAM FOODS INTERNATIONAL PVT. LTD.,0,Art.10,undesignated additive (TBHQ 2 μg/g detection),tokyo,STAR INDIA GROCERY LTD,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-10-10
Confectionery：HALDIRAM SOAN PAPDI REGULAR,India,HALDIRAM FOODS INTERNATIONAL PVT. LTD.,0,Art.10,undesignated additive (TBHQ 5 μg/g detection),tokyo,STAR INDIA GROCERY LTD,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-10-10
Frozen fresh fish and shellfish for raw consumption: (FROZEN BLACKTHROAT SEAPEARCH FILLETS,China,"RONGCHENG XINDA FOODSTUFF CO.,LTD.",0,Art.11(2),violation of compositional standard (coliform bacteria positive ),tokyo,"TSURUHACHI CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2019-10-10
WINE,Spain,"GIK LIVE,S.L.",0,Art.11(2),violation of standard of use (use of sorbic acid (0.211 g/kg detection)),tokyo,ELEMENT,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-10-10
Frozen food served without heating:FROZEN BROAD BEANS (SPLIT),Egypt,MISRCO - FARM FRESH,0,Art.11(2),violation of compositional standard（live bacteria count  5.0×10⁵ /g）,yokkaichi,MOKA.FOOD.JAPAN CORPORATION,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-10-10
Chilled beef tail（BUTT TENDERLOIN ）,U.S.A.,0,TREX CORP INC,Art.9(2),Non-attachment of health certificate to prescribe to Food Sanitation Act Article 9 Paragraph 2,kawasaki,"NORLAKE INTERNATIONAL CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2019-10-10
Peanuts,South Africa,0,GWK LIMITED,Art.6(ⅱ),"aflatoxin (mycotoxin)　25 μg/kg　（B1: 21.7, B2: 2.9) detected",nagoya,CARGILL JAPAN LIMITED,,we directed abandonment or return of the cargo (the whole quantity is kept),ordered inspection,2019-10-10
Fresh celery,United Kingdom,0,J.M.LEVARHT & ZONEN B.V.,Art.11(3),"detection over the amount unlikely to cause damage to human health that the provision of Paragraph 3 , Article 11 of the Food Sanitation Act (fludioxonil  0.07 ppm detection)",narita airport,"H & F INTERNATIONAL CO.,LTD.",,"we directed abandonment or return of the cargo（the part of quantity has been sold, the rest is kept）",monitoring inspection,2019-10-10
Fresh snap peas,Thailand,0,"YOKTONG CO.,LTD.",Art.11(2),violation of compositional standard (propiconazole 0.11 ppm detection),kobe 2nd section,"VEGEGROW CO.,LTD.",,we directed abandonment or return of the cargo (the whole quantity is kept),monitoring inspection,2019-10-10
Frozen food served after heating(other than those heated immediately before freezing）:FROZEN EBI-KATSU,Thailand,"SURAPON FOODS PUBLIC CO.,LTD.",0,Art.11(2),violation of compositional standard（live bacteria count  3.5×10⁶ /g）,naha,NACX CORPORATION,,we directed abandonment or return of the cargo (the whole quantity is kept),independence inspection,2019-10-10
VICTORIA SPONGES,United Kingdom,BROWNINGS THE BAKERS LTD,0,Art.11(2),violation of standard of use (use of potassium sorbate in other than target food),tokyo,DE CIMA JAPAN K.K.,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2019-10-10
TOFFEE SPONGES,United Kingdom,BROWNINGS THE BAKERS LTD,0,Art.11(2),violation of standard of use (use of potassium sorbate in other than target food),tokyo,DE CIMA JAPAN K.K.,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2019-10-10
APPLE & CINNAMON SCONES,United Kingdom,BROWNINGS THE BAKERS LTD,0,Art.11(2),violation of standard of use (use of potassium sorbate in other than target food),tokyo,DE CIMA JAPAN K.K.,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2019-10-10
POTATO SCONES,United Kingdom,BROWNINGS THE BAKERS LTD,0,Art.11(2),violation of standard of use (use of potassium sorbate in other than target food),tokyo,DE CIMA JAPAN K.K.,,we directed abandonment or return of the cargo (the whole quantity is kept),administration inspection,2019-10-10
